round,loss,accuracy,num_clients
1,0.08737283200025558,0.9732000231742859,2
2,0.07641921192407608,0.9796000123023987,2
3,0.07863815128803253,0.9805999994277954,2
4,0.08338656276464462,0.9815999865531921,2
5,0.0880168005824089,0.9797000288963318,2
6,0.08703383058309555,0.9812999963760376,2
7,0.0893108919262886,0.9817000031471252,2
8,0.09003186970949173,0.9814000129699707,2
9,0.09317970275878906,0.98089998960495,2
10,0.09817701578140259,0.9807000160217285,2
11,0.09853915125131607,0.9817000031471252,2
12,0.10132848471403122,0.9811000227928162,2
13,0.10455717891454697,0.9811000227928162,2
14,0.11132995784282684,0.9803000092506409,2
15,0.1104942113161087,0.98089998960495,2
16,0.11394374072551727,0.9811000227928162,2
17,0.11645427346229553,0.9819999933242798,2
18,0.11882045865058899,0.982200026512146,2
19,0.12510377168655396,0.98089998960495,2
20,0.12988628447055817,0.9812999963760376,2
21,0.13546088337898254,0.9810000061988831,2
22,0.13432806730270386,0.9807999730110168,2
23,0.1384338140487671,0.9805999994277954,2
24,0.14596767723560333,0.98089998960495,2
25,0.148749440908432,0.9799000024795532,2
