num_rounds,num_clients,final_accuracy,best_accuracy(roundNumber)
20,10,0.927299976348877,0.9298999905586244(12)
20,2,0.9082000255584716,0.9204999804496764(5)
20,25,0.9258000254631042,0.92739999294281(19)
20,5,0.926699995994568,0.926800012588501(15)
20,20,0.9262999892234802,0.92739999294281(19)
20,15,0.9271000027656556,0.9272000193595886(11)
5,10,0.9225999712944032,0.9225999712944032(5)
5,2,0.9169999957084656,0.9232000112533568(1)
5,25,0.9138000011444092,0.9138000011444092(5)
5,5,0.9215999841690063,0.9243000149726868(4)
5,20,0.9185000061988832,0.9185000061988832(5)
5,15,0.9199000000953674,0.9199000000953674(5)
10,10,0.9262999892234802,0.9275000095367432(7)
10,2,0.9115999937057496,0.9207000136375428(9)
10,25,0.9239000082015992,0.9241999983787536(9)
10,5,0.919700026512146,0.926900029182434(8)
10,20,0.9193999767303468,0.9212999939918518(9)
10,15,0.926800012588501,0.926800012588501(10)
2,10,0.9126999974250792,0.9126999974250792(2)
2,2,0.9061999917030334,0.9061999917030334(2)
2,25,0.8935999870300293,0.8935999870300293(2)
2,5,0.9176999926567078,0.9176999926567078(2)
2,20,0.8986999988555908,0.8986999988555908(2)
2,15,0.9085999727249146,0.9085999727249146(2)
15,10,0.926900029182434,0.926900029182434(15)
15,2,0.9214000105857848,0.9214000105857848(15)
15,25,0.9272000193595886,0.9272000193595886(15)
15,5,0.9258999824523926,0.9282000064849854(14)
15,20,0.9275000095367432,0.9275000095367432(15)
15,15,0.9277999997138976,0.9279999732971193(13)
25,10,0.9275000095367432,0.928600013256073(18)
25,2,0.9065999984741212,0.9229999780654908(20)
25,25,0.9272000193595886,0.9283000230789183(18)
25,5,0.9275000095367432,0.9283999800682068(11)
25,20,0.92849999666214,0.9290000200271606(23)
25,15,0.9280999898910522,0.9287999868392944(21)
