num_rounds,num_clients,final_accuracy,best_accuracy(roundNumber)
20,10,0.9269999861717224,0.9277999997138976(19)
20,2,0.9126999974250792,0.921500027179718(12)
20,25,0.9279000163078308,0.9279000163078308(20)
20,5,0.9258999824523926,0.9286999702453612(18)
20,20,0.9258999824523926,0.929099977016449(15)
20,15,0.9258000254631042,0.928600013256073(17)
5,10,0.9251999855041504,0.9251999855041504(5)
5,2,0.920199990272522,0.920199990272522(5)
5,25,0.9142000079154968,0.9142000079154968(5)
5,5,0.9182999730110168,0.9235000014305116(3)
5,20,0.9179999828338624,0.9179999828338624(5)
5,15,0.917900025844574,0.9194999933242798(4)
10,10,0.923799991607666,0.9276999831199646(7)
10,2,0.9182000160217284,0.9221000075340272(8)
10,25,0.9230999946594238,0.9230999946594238(10)
10,5,0.921999990940094,0.9240000247955322(4)
10,20,0.923799991607666,0.9239000082015992(9)
10,15,0.9265000224113464,0.9265000224113464(10)
2,10,0.912999987602234,0.912999987602234(2)
2,2,0.9057999849319458,0.909600019454956(1)
2,25,0.8889999985694885,0.8889999985694885(2)
2,5,0.9179999828338624,0.9179999828338624(2)
2,20,0.8992000222206116,0.8992000222206116(2)
2,15,0.9031999707221984,0.9031999707221984(2)
15,10,0.9282000064849854,0.9282000064849854(15)
15,2,0.921999990940094,0.9229999780654908(2)
15,25,0.9247000217437744,0.9271000027656556(14)
15,5,0.9241999983787536,0.9272000193595886(10)
15,20,0.9261999726295472,0.9261999726295472(15)
15,15,0.926800012588501,0.926900029182434(14)
25,10,0.9251999855041504,0.9283999800682068(7)
25,2,0.916100025177002,0.9218999743461608(16)
25,25,0.926900029182434,0.9275000095367432(21)
25,5,0.9248999953269958,0.9269999861717224(10)
25,20,0.9283000230789183,0.9283000230789183(25)
25,15,0.9297000169754028,0.9301000237464904(23)
